Date,retuns
2018-05-31,-0.06851565335319842
2018-06-30,0.021814378870524287
2018-07-31,-0.01948231780982468
2018-08-31,0.016590597433431054
2018-09-30,-0.020910174432650863
2018-10-31,-0.03488309925767519
2018-11-30,0.05860069117452804
2018-12-31,-0.009302606420448889
2019-01-31,-0.06088235533126918
2019-02-28,0.13546488988880712
2019-03-31,0.016617131534827134
2019-04-30,0.011971469372303645
2019-05-31,-0.01950406489009049
2019-06-30,-0.03378171639676797
2019-07-31,-0.0899228261124535
2019-08-31,0.10800524088751429
2019-09-30,0.05505046001387992
2019-10-31,0.1038673261650851
2019-11-30,-0.021974692983478095
